row_index,timestamp,ct_src_dport_ltm,rate,dwin,dload,swin,ct_dst_sport_ltm,ct_state_ttl,sttl,src,proto,state,mse,result
7,"May 18, 2025, 1:04 p.m.",28,0,0,1694,6570.4,3,5,64,4.209.185.25,tcp,0.0,0.22857734394447704,NORMAL
8,"May 18, 2025, 1:04 p.m.",3,0,0,1072,6624.0,28,5,64,146.136.180.86,tcp,0.0,0.4576154726280645,NORMAL
9,"May 18, 2025, 1:04 p.m.",28,0,0,900,6570.4,3,5,64,228.95.156.229,tcp,0.0,0.2775900004459332,NORMAL
5,"May 18, 2025, 1:04 p.m.",22,0,0,1694,6570.4,3,5,64,136.39.205.114,tcp,0.0,0.4642608000751819,NORMAL
6,"May 18, 2025, 1:04 p.m.",3,0,0,1074,6624.0,28,5,64,107.162.39.44,tcp,0.0,0.5013681561753481,NORMAL
4,"May 18, 2025, 1:04 p.m.",3,0,0,1072,6624.0,22,5,64,52.70.183.197,tcp,0.0,0.30752238575992674,NORMAL
2,"May 18, 2025, 1:04 p.m.",3,0,0,1073,6624.0,22,5,64,223.194.93.189,tcp,0.0,0.33963191667934595,NORMAL
3,"May 18, 2025, 1:04 p.m.",22,0,0,900,6570.4,3,5,64,7.109.67.230,tcp,0.0,0.2253809082784384,NORMAL
1,"May 18, 2025, 1:04 p.m.",21,0,0,9808,4199.875,3,8,64,235.12.54.4,tcp,0.0,3.224157505274896,NORMAL
0,"May 18, 2025, 1:03 p.m.",3,0,0,468,6624.0,21,5,64,45.220.72.182,tcp,0.0,0.43204127106591445,NORMAL
41,"May 15, 2025, 3:49 p.m.",85,0,0,2357,8150.75,3,4,64,N/A,N/A,0.0,0.4763422606315358,NORMAL
39,"May 15, 2025, 3:49 p.m.",83,0,0,2236,8150.75,3,4,64,N/A,N/A,0.0,0.34969197262737983,NORMAL
40,"May 15, 2025, 3:49 p.m.",3,0,0,1174,5561.5,85,6,64,N/A,N/A,0.0,0.5416711304520206,NORMAL
37,"May 15, 2025, 3:49 p.m.",83,0,0,6558,8150.75,3,4,64,N/A,N/A,0.0,0.5494042349540231,NORMAL
38,"May 15, 2025, 3:49 p.m.",3,0,0,1166,5561.5,83,6,64,N/A,N/A,0.0,0.5203884122188996,NORMAL
35,"May 15, 2025, 3:49 p.m.",83,0,0,834,8150.75,3,4,64,N/A,N/A,0.0,0.4305325095056109,NORMAL
36,"May 15, 2025, 3:49 p.m.",3,0,0,1155,5561.5,83,6,64,N/A,N/A,0.0,0.47078510227735676,NORMAL
33,"May 15, 2025, 3:49 p.m.",83,0,0,2221,6570.4,3,5,64,N/A,N/A,0.0,0.4677004263288604,NORMAL
34,"May 15, 2025, 3:49 p.m.",3,0,0,1139,5561.5,83,6,64,N/A,N/A,0.0,0.4707948736496826,NORMAL
31,"May 15, 2025, 3:49 p.m.",83,0,0,2198,6570.4,3,5,64,N/A,N/A,0.0,0.43907219802194974,NORMAL
32,"May 15, 2025, 3:49 p.m.",3,0,0,1081,6624.0,83,5,64,N/A,N/A,0.0,0.7193533521938966,NORMAL
29,"May 15, 2025, 3:49 p.m.",64,0,0,2357,8150.75,3,4,64,N/A,N/A,0.0,0.3113811092996702,NORMAL
30,"May 15, 2025, 3:49 p.m.",3,0,0,1075,6624.0,83,5,64,N/A,N/A,0.0,0.4817180937916206,NORMAL
27,"May 15, 2025, 3:49 p.m.",64,0,0,2302,6570.4,3,5,64,N/A,N/A,0.0,0.42109044094204645,NORMAL
28,"May 15, 2025, 3:49 p.m.",3,0,0,1174,5561.5,64,6,64,N/A,N/A,0.0,0.4101688011706489,NORMAL
25,"May 15, 2025, 3:49 p.m.",64,0,0,6624,6570.4,3,5,64,N/A,N/A,0.0,0.8198865380689039,NORMAL
26,"May 15, 2025, 3:49 p.m.",3,0,0,1166,5561.5,64,6,64,N/A,N/A,0.0,0.3494063932623371,NORMAL
23,"May 15, 2025, 3:49 p.m.",64,0,0,900,6570.4,3,5,64,N/A,N/A,0.0,0.22797230518143283,NORMAL
24,"May 15, 2025, 3:49 p.m.",3,0,0,1089,6624.0,64,5,64,N/A,N/A,0.0,0.39979430766190127,NORMAL
21,"May 15, 2025, 3:49 p.m.",64,0,0,2423,6570.4,3,5,64,N/A,N/A,0.0,0.21843559714401592,NORMAL
22,"May 15, 2025, 3:49 p.m.",3,0,0,1073,6624.0,64,5,64,N/A,N/A,0.0,0.35862389059725197,NORMAL
20,"May 15, 2025, 3:49 p.m.",3,0,0,1107,6624.0,64,5,64,N/A,N/A,0.0,0.3528862552707085,NORMAL
19,"May 15, 2025, 3:49 p.m.",64,0,0,2221,6570.4,3,5,64,N/A,N/A,0.0,0.5335593222020562,NORMAL
18,"May 15, 2025, 3:49 p.m.",3,0,0,1081,6624.0,64,5,64,N/A,N/A,0.0,0.3583449488955389,NORMAL
17,"May 15, 2025, 3:49 p.m.",64,0,0,12522,4764.285714285715,3,7,64,N/A,N/A,0.0,2.1678115184631146,NORMAL
15,"May 15, 2025, 3:49 p.m.",64,0,0,2132,8150.75,3,4,64,N/A,N/A,0.0,0.1910198027580564,NORMAL
16,"May 15, 2025, 3:49 p.m.",3,0,0,588,4802.571428571428,64,7,64,N/A,N/A,0.0,0.5383295243907533,NORMAL
13,"May 15, 2025, 3:49 p.m.",64,0,0,2302,6570.4,3,5,64,N/A,N/A,0.0,0.1803629847203757,NORMAL
14,"May 15, 2025, 3:49 p.m.",3,0,0,1141,5561.5,64,6,64,N/A,N/A,0.0,0.5722065651259954,NORMAL
10,"May 15, 2025, 3:49 p.m.",3,0,0,1089,6624.0,61,5,64,N/A,N/A,0.0,0.3117824602761999,NORMAL
